Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.676,1.116,0.230,4,14.089,8.461,30.2,308.0,1632.1,14545.95,89.35,1538.10,89.51,1527.85,44.49,43.87,1915.1,0.299999982,10.59999943,0.799999952,600,0.280000001,0.2421,0.2718,2.0648,0.9736,1.0912
8.496,1.100,0.226,1,14.084,8.458,29.8,302.8,1604.6,14535.65,89.47,1826.05,88.68,1933.60,44.63,43.62,1995.5,0.299999982,10.59999943,0.899999976,600,0.280000001,0.2424,0.2716,2.0606,0.9738,1.0868
8.594,1.111,0.230,2,14.090,8.469,30.9,305.6,1619.4,14540.35,89.48,1861.70,88.71,1909.55,44.55,43.53,2023.7,0.299999982,10.59999943,0.899999976,600,0.280000001,0.2443,0.2729,2.0606,0.9738,1.0868
8.611,1.112,0.229,3,14.087,8.466,30.0,308.1,1632.7,14540.80,89.49,1895.35,88.75,1878.35,44.54,43.58,2023.3,0.299999982,10.59999943,0.899999976,600,0.280000001,0.2437,0.2709,2.0606,0.9738,1.0868
8.540,1.104,0.228,4,14.087,8.464,31.2,303.7,1609.6,14540.30,89.49,1916.85,88.79,1861.40,44.39,43.41,2087.9,0.299999982,10.59999943,0.899999976,600,0.280000001,0.2435,0.2715,2.0606,0.9738,1.0868
8.472,1.102,0.226,1,14.094,8.463,31.6,303.8,1609.9,14541.50,89.31,1644.55,88.29,2225.70,45.07,44.31,1542.4,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2437,0.2718,2.0678,0.9796,1.0882
8.556,1.112,0.230,2,14.099,8.476,32.3,298.4,1581.3,14536.25,89.30,1648.75,88.28,2233.10,45.19,44.32,1529.2,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2454,0.2730,2.0678,0.9796,1.0882
8.593,1.112,0.231,3,14.105,8.483,33.5,297.2,1574.9,14534.85,89.31,1640.85,88.28,2235.25,45.09,44.30,1540.3,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2452,0.2711,2.0678,0.9796,1.0882
8.565,1.106,0.230,4,14.100,8.472,32.3,299.9,1589.2,14537.75,89.30,1673.60,88.31,2204.10,45.23,44.33,1536.4,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2453,0.2723,2.0678,0.9796,1.0882
8.576,1.104,0.227,1,14.080,8.451,30.7,364.4,1931.3,14582.80,89.47,1887.30,89.32,1563.10,44.49,43.85,1904.5,0.299999982,10,0.799999952,600,0.280000001,0.2425,0.2730,2.0649,0.9747,1.0902
8.644,1.117,0.229,2,14.094,8.468,30.8,393.9,2087.7,14617.70,89.51,1999.90,89.37,1553.40,44.54,43.81,1912.0,0.299999982,10,0.799999952,600,0.280000001,0.2436,0.2728,2.0649,0.9747,1.0902
8.647,1.118,0.229,3,14.091,8.468,30.1,356.3,1888.4,14557.75,89.51,2004.85,89.33,1567.15,44.65,43.83,1881.5,0.299999982,10,0.799999952,600,0.280000001,0.2442,0.2724,2.0649,0.9747,1.0902
8.571,1.106,0.229,4,14.097,8.474,30.3,377.3,1999.7,14595.15,89.52,1992.20,89.36,1558.60,44.57,43.77,1915.5,0.299999982,10,0.799999952,600,0.280000001,0.2445,0.2721,2.0649,0.9747,1.0902
8.495,1.099,0.228,1,14.077,8.437,34.6,330.4,1751.1,14561.10,89.46,1814.90,89.56,1515.10,45.04,44.00,1685.6,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2445,0.2728,2.0708,0.9774,1.0934
